sutta,character,id,is_physically_present,mentioned_by_name,has_speaking_role,has_teaching_role,type,aliases
mn89,Dīgha Kārāyana,dīghakārāyana,TRUE,TRUE,TRUE,FALSE,,
mn89,Isidatta,Isidatta2,FALSE,TRUE,FALSE,FALSE,,
mn89,Pasenadi,pasenadi,TRUE,TRUE,TRUE,FALSE,,
mn89,Purāṇa,Purāṇa2,FALSE,TRUE,FALSE,FALSE,,
mn90,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn90,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn90,Pasenadi,pasenadi,TRUE,TRUE,TRUE,FALSE,,
mn90,Sakulā,Sakulā2,TRUE,TRUE,TRUE,FALSE,,
mn90,Sañjaya,Sañjaya2,TRUE,TRUE,TRUE,FALSE,,
mn90,Somā,Somā2,TRUE,TRUE,TRUE,FALSE,,
mn90,Viḍūḍabha,viḍūḍabha,TRUE,TRUE,TRUE,FALSE,,
mn91,Brahmāyu,brahmāyu,TRUE,TRUE,TRUE,FALSE,,
mn91,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn91,Uttara,Uttara6,TRUE,TRUE,TRUE,FALSE,,
mn92,Bimbisāra,bimbisāra,FALSE,TRUE,FALSE,FALSE,,
mn92,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn92,Keṇiya,keṇiya,TRUE,TRUE,TRUE,FALSE,,
mn92,Māra,māra,FALSE,TRUE,FALSE,FALSE,,
mn92,Sāriputta,sāriputta,FALSE,TRUE,FALSE,FALSE,enlightened monk,
mn92,Sela,sela,TRUE,TRUE,TRUE,FALSE,,
mn93,Assalāyana,assalāyana,TRUE,TRUE,TRUE,FALSE,,
mn93,Brahmā,,FALSE,TRUE,FALSE,FALSE,,
mn93,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn93,Devala,,FALSE,TRUE,TRUE,FALSE,,
mn94,Buddha,buddha,FALSE,TRUE,FALSE,FALSE,buddha,
mn94,Ghoṭamukha,ghoṭamukha,TRUE,TRUE,TRUE,FALSE,,
mn94,Udena,Udena2,TRUE,TRUE,TRUE,TRUE,,
mn95,Aṅgīrasa,Aṅgīrasa2,FALSE,TRUE,FALSE,FALSE,,
mn95,Aṭṭhaka,aṭṭhaka1,FALSE,TRUE,FALSE,FALSE,,
mn95,Bhagu,bhagu1,FALSE,TRUE,FALSE,FALSE,,
mn95,Bhāradvāja,,FALSE,TRUE,FALSE,FALSE,,
